ebay_id,td_id,c4c_id,car_fuel,car_nb_shift,car_desc,car_trans,car_trim,car_version,car_plat,car_d_from,car_d_to,car_y_from,car_y_to,car_ranking,car_mark,car_name,car_doors,car_chassis,car_model_y_from,car_model_y_to,car_code,car_engine_desc,car_aspi,car_alim,car_name_cyl,car_valve,car_kw,car_cv,car_disp,car_cyl,car_nb_cyl,car_type,car_image,car_date_add,car_url,car_user,car_method,car_valid,car_comment
car_ebayID,car_tdID,42800,car_fuel,car_nbShift,car_desc,car_trans,car_trim,car_version,car_plat,car_YFrom,car_YTo,car_year,,ABC_ranking,model_mark,model_name,model_doors,model_chassis,model_YFrom,model_YTo,engine_code,engine_desc,engine_aspi,engine_alim,engine_nameCyl,engine_valve,engine_KW,engine_CV,engine_disp,,engine_nbCyl,engine_type,,,info_URL,info_user,info_method,info_valid,info_comment
228496761,7700,39273,,,,,,1.7,B/C37,01/06/1987,01/12/1988,1987,1988,,Renault,11,,,,,,,,,,,69 KW,94 PS,,1721.0,,,,,,Jerome,Ebay,C4C updated,C4C_40360
228496791,1991,39274,,,,,,1.1,B/C40,01/10/1984,01/10/1988,1984,1988,,Renault,Super 5,,,,,,,,,,,34 KW,46 PS,,1108.0,,,,,,Jerome,Ebay,C4C updated,C4C_40408
228497091,11801,39275,,,,,,1.6 TA,115,01/01/1969,01/08/1980,1969,1980,,Renault,R16,,,,,,,,,,,52 KW,71 PS,,1647.0,,,,,,Jerome,Ebay,True,
228497351,12407,39276,,,,,,1.2,S53,01/03/1992,01/12/1995,1992,1995,,Renault,19 II Camionnette - 3/5 Portes,,,,,,,,,,,40 KW,54 PS,,1237.0,,,,,,Jerome,Ebay,True,
228497421,13646,39277,,,,,,28-35 2.4 D,T,01/08/1980,01/08/1989,1980,1989,,Renault,Master I Autobus/Autocar,,,,,,,,,,,52 KW,71 PS,2.1L,2445.0,,,,,,Jerome,Ebay,True,
228497481,18890,39278,,,,,,1.8,"556, B56",01/06/1995,01/06/1998,1995,1998,,Renault,Laguna I,,,,,,,,,,,70 KW,95 PS,2.1L,1794.0,,,,,,Jerome,Ebay,True,
228497531,2066,39279,,,,,,2.0,127,01/10/1980,01/12/1983,1980,1983,,Renault,20,,,,,,,,,,,76 KW,103 PS,,1995.0,,,,,,Jerome,Ebay,True,
228498081,57731,39280,,,,,,1.6,"FA0, JA0/1",01/09/1999,01/09/2003,1999,2003,,Renault,Scénic I Monospace,,,,,,,,,,,79 KW,107 PS,3.6L,1598.0,,,,,,Jerome,Ebay,True,
228498121,12325,39281,,,,,,1.4,--,01/05/1979,01/07/1986,1979,1986,,Renault,18 Camionnette/Break,,,,,,,,,,,47 KW,64 PS,,1397.0,,,,,,Jerome,Ebay,True,
228498131,19494,39282,,,,,,1.8 16V,L53,01/06/1989,01/08/1990,1989,1990,,Renault,19 I Chamade,,,,,,,,,,,101 KW,137 PS,,1764.0,,,,,,Jerome,Ebay,True,
